fpr,tpr,threshold
0.0,0.0,inf
0.01,0.0,-1.9379407616361073
0.02,0.0,-1.9434229137199435
0.02,0.46,-2.043831168831169
0.02,0.5,-2.045075125208681
0.02,0.59,-2.0492359932088284
0.02,0.61,-2.049342105263158
0.02,0.85,-2.0621848739495796
0.02,0.87,-2.0652173913043477
0.02,1.0,-2.087328767123288
0.42,1.0,-2.396330275229358
0.44,1.0,-2.3970588235294117
0.72,1.0,-2.474860335195531
0.74,1.0,-2.4773584905660377
1.0,1.0,-2.70362473347548
