source,label,window_id,compressibility_score
legit,0,0,1.9379407616361073
legit,0,1,1.9434229137199435
legit,0,2,2.139423076923077
legit,0,3,2.3159784560143626
legit,0,4,2.4333958724202627
legit,0,5,2.5324165029469548
legit,0,6,2.481624758220503
legit,0,7,2.70362473347548
legit,0,8,2.5470588235294116
legit,0,9,2.6427104722792607
legit,0,10,2.609406952965235
legit,0,11,2.605691056910569
legit,0,12,2.4990176817288803
legit,0,13,2.431261770244821
legit,0,14,2.6376518218623484
legit,0,15,2.464814814814815
legit,0,16,2.411552346570397
legit,0,17,2.3783783783783785
legit,0,18,2.3032928942807627
legit,0,19,2.3055555555555554
legit,0,20,2.3970588235294117
legit,0,21,2.4328358208955225
legit,0,22,2.4473684210526314
legit,0,23,2.4773584905660377
legit,0,24,2.418250950570342
legit,0,25,2.3970588235294117
legit,0,26,2.391866913123845
legit,0,27,2.5147347740667976
legit,0,28,2.4383301707779887
legit,0,29,2.478846153846154
legit,0,30,2.3644688644688645
legit,0,31,2.5284872298624754
legit,0,32,2.385046728971963
legit,0,33,2.4003690036900367
legit,0,34,2.292768959435626
legit,0,35,2.3150442477876108
legit,0,36,2.461977186311787
legit,0,37,2.4301470588235294
legit,0,38,2.474860335195531
legit,0,39,2.404850746268657
legit,0,40,2.4464609800362975
legit,0,41,2.378927911275416
legit,0,42,2.6311475409836067
legit,0,43,2.5442043222003927
legit,0,44,2.448473282442748
legit,0,45,2.5449101796407185
legit,0,46,2.3847549909255896
legit,0,47,2.381037567084079
legit,0,48,2.3905109489051095
legit,0,49,2.5153846153846153
legit,0,50,2.4452690166975883
legit,0,51,2.3917710196779964
legit,0,52,2.438888888888889
legit,0,53,2.5161290322580645
legit,0,54,2.401129943502825
legit,0,55,2.386861313868613
legit,0,56,2.561122244488978
legit,0,57,2.4508670520231215
legit,0,58,2.358455882352941
legit,0,59,2.4573055028463
legit,0,60,2.3045774647887325
legit,0,61,2.28719723183391
legit,0,62,2.389189189189189
legit,0,63,2.409982174688057
legit,0,64,2.396330275229358
legit,0,65,2.4773584905660377
legit,0,66,2.349911190053286
legit,0,67,2.3824057450628366
legit,0,68,2.3973634651600753
legit,0,69,2.2645051194539247
legit,0,70,2.337979094076655
legit,0,71,2.367021276595745
legit,0,72,2.3456140350877193
legit,0,73,2.2670068027210886
legit,0,74,2.368043087971275
legit,0,75,2.244186046511628
legit,0,76,2.3214920071047955
legit,0,77,2.5582329317269075
legit,0,78,2.5593561368209254
legit,0,79,2.499009900990099
legit,0,80,2.536290322580645
legit,0,81,2.5772357723577235
legit,0,82,2.685774946921444
legit,0,83,2.289048473967684
legit,0,84,2.3659889094269873
legit,0,85,2.6464435146443517
legit,0,86,2.458574181117534
legit,0,87,2.346014492753623
legit,0,88,2.3107142857142855
legit,0,89,2.350909090909091
legit,0,90,2.300174520069808
legit,0,91,2.450381679389313
legit,0,92,2.431985294117647
legit,0,93,2.4349442379182156
legit,0,94,2.418560606060606
legit,0,95,2.4960629921259843
legit,0,96,2.463654223968566
legit,0,97,2.284452296819788
legit,0,98,2.3345521023765996
legit,0,99,2.3435804701627485
Fuzzy,1,0,2.056384742951907
Fuzzy,1,1,2.0553691275167787
Fuzzy,1,2,2.0081967213114753
Fuzzy,1,3,2.039344262295082
Fuzzy,1,4,2.031986531986532
Fuzzy,1,5,2.0435510887772192
Fuzzy,1,6,2.037643207855974
Fuzzy,1,7,2.0503355704697985
Fuzzy,1,8,2.0667779632721204
Fuzzy,1,9,2.0397350993377485
Fuzzy,1,10,2.0378912685337727
Fuzzy,1,11,2.041736227045075
Fuzzy,1,12,2.045075125208681
Fuzzy,1,13,2.0131147540983605
Fuzzy,1,14,2.0299500831946755
Fuzzy,1,15,2.058922558922559
Fuzzy,1,16,2.0702054794520546
Fuzzy,1,17,2.0445544554455446
Fuzzy,1,18,2.0344262295081967
Fuzzy,1,19,2.0612582781456954
Fuzzy,1,20,2.0366666666666666
Fuzzy,1,21,2.072635135135135
Fuzzy,1,22,2.046744574290484
Fuzzy,1,23,2.05685618729097
Fuzzy,1,24,2.041459369817579
Fuzzy,1,25,2.0480928689883915
Fuzzy,1,26,2.0567612687813024
Fuzzy,1,27,2.048414023372287
Fuzzy,1,28,2.084317032040472
