source,label,window_id,compressibility_score
legit,0,0,1.9379407616361073
legit,0,1,1.9434229137199435
legit,0,2,2.139423076923077
legit,0,3,2.3159784560143626
legit,0,4,2.4333958724202627
legit,0,5,2.5324165029469548
legit,0,6,2.481624758220503
legit,0,7,2.70362473347548
legit,0,8,2.5470588235294116
legit,0,9,2.6427104722792607
legit,0,10,2.609406952965235
legit,0,11,2.605691056910569
legit,0,12,2.4990176817288803
legit,0,13,2.431261770244821
legit,0,14,2.6376518218623484
legit,0,15,2.464814814814815
legit,0,16,2.411552346570397
legit,0,17,2.3783783783783785
legit,0,18,2.3032928942807627
legit,0,19,2.3055555555555554
legit,0,20,2.3970588235294117
legit,0,21,2.4328358208955225
legit,0,22,2.4473684210526314
legit,0,23,2.4773584905660377
legit,0,24,2.418250950570342
legit,0,25,2.3970588235294117
legit,0,26,2.391866913123845
legit,0,27,2.5147347740667976
legit,0,28,2.4383301707779887
legit,0,29,2.478846153846154
legit,0,30,2.3644688644688645
legit,0,31,2.5284872298624754
legit,0,32,2.385046728971963
legit,0,33,2.4003690036900367
legit,0,34,2.292768959435626
legit,0,35,2.3150442477876108
legit,0,36,2.461977186311787
legit,0,37,2.4301470588235294
legit,0,38,2.474860335195531
legit,0,39,2.404850746268657
legit,0,40,2.4464609800362975
legit,0,41,2.378927911275416
legit,0,42,2.6311475409836067
legit,0,43,2.5442043222003927
legit,0,44,2.448473282442748
legit,0,45,2.5449101796407185
legit,0,46,2.3847549909255896
legit,0,47,2.381037567084079
legit,0,48,2.3905109489051095
legit,0,49,2.5153846153846153
legit,0,50,2.4452690166975883
legit,0,51,2.3917710196779964
legit,0,52,2.438888888888889
legit,0,53,2.5161290322580645
legit,0,54,2.401129943502825
legit,0,55,2.386861313868613
legit,0,56,2.561122244488978
legit,0,57,2.4508670520231215
legit,0,58,2.358455882352941
legit,0,59,2.4573055028463
legit,0,60,2.3045774647887325
legit,0,61,2.28719723183391
legit,0,62,2.389189189189189
legit,0,63,2.409982174688057
legit,0,64,2.396330275229358
legit,0,65,2.4773584905660377
legit,0,66,2.349911190053286
legit,0,67,2.3824057450628366
legit,0,68,2.3973634651600753
legit,0,69,2.2645051194539247
legit,0,70,2.337979094076655
legit,0,71,2.367021276595745
legit,0,72,2.3456140350877193
No_BCH,1,0,2.4742268041237114
No_BCH,1,1,2.481958762886598
No_BCH,1,2,2.4120603015075375
No_BCH,1,3,2.4015151515151514
No_BCH,1,4,2.4573643410852712
No_BCH,1,5,2.419597989949749
No_BCH,1,6,2.4358974358974357
No_BCH,1,7,2.434108527131783
No_BCH,1,8,2.4652956298200515
No_BCH,1,9,2.4770408163265305
No_BCH,1,10,2.3859649122807016
No_BCH,1,11,2.4922279792746114
No_BCH,1,12,2.4974093264248705
No_BCH,1,13,2.4704370179948585
No_BCH,1,14,2.4680306905370846
No_BCH,1,15,2.4791666666666665
No_BCH,1,16,2.4536340852130327
No_BCH,1,17,2.3778337531486144
No_BCH,1,18,2.3645320197044337
No_BCH,1,19,2.5118110236220472
No_BCH,1,20,2.493606138107417
No_BCH,1,21,2.4158163265306123
No_BCH,1,22,2.4739583333333335
No_BCH,1,23,2.422110552763819
No_BCH,1,24,2.4170854271356785
No_BCH,1,25,2.449612403100775
No_BCH,1,26,2.4427480916030535
No_BCH,1,27,2.437185929648241
No_BCH,1,28,2.479591836734694
No_BCH,1,29,2.409669211195929
No_BCH,1,30,2.4347826086956523
No_BCH,1,31,2.4285714285714284
No_BCH,1,32,2.401002506265664
No_BCH,1,33,2.422110552763819
No_BCH,1,34,2.431122448979592
No_BCH,1,35,2.483204134366925
No_BCH,1,36,2.4441624365482233
No_BCH,1,37,2.4642857142857144
No_BCH,1,38,2.4712041884816753
No_BCH,1,39,2.4808184143222505
No_BCH,1,40,2.445012787723785
No_BCH,1,41,2.5025906735751295
No_BCH,1,42,2.4770408163265305
No_BCH,1,43,2.4346733668341707
No_BCH,1,44,2.4794871794871796
No_BCH,1,45,2.462532299741602
No_BCH,1,46,2.448101265822785
No_BCH,1,47,2.4130982367758187
No_BCH,1,48,2.4151898734177215
No_BCH,1,49,2.419191919191919
No_BCH,1,50,2.4675324675324677
No_BCH,1,51,2.455470737913486
No_BCH,1,52,2.4045226130653266
No_BCH,1,53,2.4393939393939394
No_BCH,1,54,2.4080604534005037
No_BCH,1,55,2.4210526315789473
No_BCH,1,56,2.4430379746835444
No_BCH,1,57,2.43609022556391
No_BCH,1,58,2.441326530612245
No_BCH,1,59,2.450381679389313
No_BCH,1,60,2.486005089058524
No_BCH,1,61,2.440506329113924
No_BCH,1,62,2.466666666666667
No_BCH,1,63,2.444155844155844
No_BCH,1,64,2.4015151515151514
No_BCH,1,65,2.4578005115089514
No_BCH,1,66,2.4506329113924052
No_BCH,1,67,2.4054726368159205
No_BCH,1,68,2.4690721649484537
No_BCH,1,69,2.436224489795918
No_BCH,1,70,2.4354430379746836
No_BCH,1,71,2.431472081218274
No_BCH,1,72,2.4343434343434343
